phase,event,total votes,exhausted,Adriana BOISEN,Michael BREWER,Shane RATTENBURY,Rebecca VASSAROTTI,John HAYDON,Joy ANGEL,Rattesh GUMBER,Candice BURCH,Elizabeth LEE,Patrick PENTONY,Robert JOHNSON,Alvin HOPPER,Robyn WILLIAMS,Rachel STEPHEN-SMITH,Judy ANDERSON,Andrew BARR,Jacob INGRAM,Maddy NORTHAM,Petar JOHNSON,Sophia FORNER,Alix O'HARA,Peta Anne BRYANT,Therese FAULKNER,Tim BOHM,Julie SMITH,Serrin RUTLEDGE-PRIOR,Bruce PAINE,Marilena DAMIANO
20,Judy ANDERSON elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
21,Robert JOHNSON elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
22,Jacob INGRAM elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
23,Maddy NORTHAM elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
24,Patrick PENTONY elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
25,Rachel STEPHEN-SMITH elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
26,Shane RATTENBURY elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
27,Elizabeth LEE elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
28,Candice BURCH elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
29,Rebecca VASSAROTTI elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
