id,pname,pabbrev
1,ANIMAL JUSTICE PARTY,AJP
2,SUSTAINABLE AUSTRALIA - STOP OVERDEVELOPMENT. STOP CORRUPTION.,SUST
3,THE ACT GREENS,GREEN
4,SHOOTERS FISHERS AND FARMERS PARTY (ACT),SFF
5,ACT LABOR,ALP
6,AUSTRALIAN CLIMATE CHANGE JUSTICE PARTY,CLIM
7,CANBERRA LIBERALS,LIB
8,CANBERRA PROGRESSIVES,PROG
9,UNGROUPED,UNG
