id,pname,pabbrev
1,THE ACT GREENS,GREEN
2,SUSTAINABLE AUSTRALIA - STOP OVERDEVELOPMENT. STOP CORRUPTION.,SUST
3,CANBERRA LIBERALS,LIB
4,THE COMMUNITY ACTION PARTY (ACT),CAP
5,ACT LABOR,ALP
6,AUSTRALIAN CLIMATE CHANGE JUSTICE PARTY,CLIM
7,CANBERRA PROGRESSIVES,PROG
8,ANIMAL JUSTICE PARTY,AJP
9,UNGROUPED,UNG
