id,cname,party,primary,votes
1-1,Oliver SMITH,SFF,0.0,0.0
1-2,Matthew OGILVIE,SFF,0.0,0.0
2-1,Helen McCLURE,DLP,0.0,0.0
2-2,Ian McCLURE,DLP,0.0,0.0
3-1,Oksana DEMETRIOS,CLIM,0.0,0.0
3-2,Jonathan STAVRIDIS,CLIM,0.0,0.0
3-3,Sok Kheng NGEP,CLIM,0.0,0.0
4-1,Carolyne DREW,AJP,0.0,0.0
4-2,Lara DREW,AJP,0.0,0.0
5-1,Paul GABRIEL,SUST,0.0,0.0
5-2,Mark O'CONNOR,SUST,0.0,0.0
6-1,Vijay DUBEY,BEL,0.0,0.0
6-2,Angela LOUNT,BEL,0.0,0.0
6-3,Alan TUTT,BEL,0.0,0.0
6-4,Bill STEFANIAK,BEL,0.0,0.0
6-5,Chic HENRY,BEL,0.0,0.0
7-1,Ignatius ROZARIO,LIB,0.0,0.0
7-2,Elizabeth KIKKERT,LIB,0.0,0.0
7-3,Robert GUNNING,LIB,0.0,0.0
7-4,Kacey LAM,LIB,0.0,0.0
7-5,Peter CAIN,LIB,0.0,0.0
8-1,Guy JAKEMAN,LDP,0.0,0.0
8-2,Dominic DE LUCA,LDP,0.0,0.0
9-1,Katt MILLNER,GREEN,0.0,0.0
9-2,Jo CLAY,GREEN,0.0,0.0
9-3,Tim LIERSCH,GREEN,0.0,0.0
10-1,Tara CHEYNE,ALP,0.0,0.0
10-2,Yvette BERRY,ALP,0.0,0.0
10-3,Gordon RAMSAY,ALP,0.0,0.0
10-4,Sue DUCKER,ALP,0.0,0.0
10-5,Greg LLOYD,ALP,0.0,0.0
11-1,Mignonne CULLEN,UNG,0.0,0.0
