id,cname,party,primary,votes
1-1,Bernie STRANG,DLP,0.0,0.0
1-2,Olivia HELMORE,DLP,0.0,0.0
2-1,Krishna NADIMPALLI,LIB,0.0,0.0
2-2,James MILLIGAN,LIB,0.0,0.0
2-3,Jacob VADAKKEDATHU,LIB,0.0,0.0
2-4,Leanne CASTLEY,LIB,0.0,0.0
2-5,Alistair COE,LIB,0.0,0.0
3-1,Andrew BRADDOCK,GREEN,0.0,0.0
3-2,Mainul HAQUE,GREEN,0.0,0.0
4-1,John KEARSLEY,SUST,0.0,0.0
4-2,Scott YOUNG,SUST,0.0,0.0
5-1,Bethany WILLIAMS,PROG,0.0,0.0
5-2,Mike STELZIG,PROG,0.0,0.0
6-1,Stephanie POLLARD,POL,0.0,0.0
6-2,David POLLARD,POL,0.0,0.0
7-1,Bernie BRENNAN,AJP,0.0,0.0
7-2,Francine HORNE,AJP,0.0,0.0
8-1,Deepak-Raj GUPTA,ALP,0.0,0.0
8-2,Tom FISCHER,ALP,0.0,0.0
8-3,Suzanne ORR,ALP,0.0,0.0
8-4,Georgia PHILLIPS,ALP,0.0,0.0
8-5,Michael PETTERSSON,ALP,0.0,0.0
9-1,Helen CROSS,UNG,0.0,0.0
9-2,Fuxin LI,UNG,0.0,0.0
9-3,Mohammad Munir HUSSAIN,UNG,0.0,0.0
