id,pname,pabbrev
1,LABOUR DLP,DLP
2,CANBERRA LIBERALS,LIB
3,THE ACT GREENS,GREEN
4,SUSTAINABLE AUSTRALIA - STOP OVERDEVELOPMENT. STOP CORRUPTION.,SUST
5,CANBERRA PROGRESSIVES,PROG
6,DAVID POLLARD INDEPENDENT,POL
7,ANIMAL JUSTICE PARTY,AJP
8,ACT LABOR,ALP
9,UNGROUPED,UNG
