id,cname,party,primary,votes
1-1,Edmund HANDBY,AJP,0.0,0.0
1-2,Yana del VALLE,AJP,0.0,0.0
2-1,Jill MAIL,SUST,0.0,0.0
2-2,Geoff BUCKMASTER,SUST,0.0,0.0
3-1,Terry BAKER,GREEN,0.0,0.0
3-2,Tjanara GORENG GORENG,GREEN,0.0,0.0
3-3,Emma DAVIDSON,GREEN,0.0,0.0
4-1,Gordon YEATMAN,SFF,0.0,0.0
4-2,Mark GILMAYER,SFF,0.0,0.0
5-1,Brendan LONG,ALP,0.0,0.0
5-2,Bec CODY,ALP,0.0,0.0
5-3,Chris STEEL,ALP,0.0,0.0
5-4,Marisa PATERSON,ALP,0.0,0.0
5-5,Tim DOBSON,ALP,0.0,0.0
6-1,Rohan BYRNES,CLIM,0.0,0.0
6-2,Jackson HILLMAN,CLIM,0.0,0.0
6-3,Peter VEENSTRA,CLIM,0.0,0.0
6-4,Richard FORNER,CLIM,0.0,0.0
6-5,Andrew DEMETRIOS,CLIM,0.0,0.0
7-1,Amardeep SINGH,LIB,0.0,0.0
7-2,Giulia JONES,LIB,0.0,0.0
7-3,Sarah SUINE,LIB,0.0,0.0
7-4,Ed COCKS,LIB,0.0,0.0
7-5,Jeremy HANSON,LIB,0.0,0.0
8-1,Stephen LIN,PROG,0.0,0.0
8-2,Robert KNIGHT,PROG,0.0,0.0
9-1,Brendan WHYTE,UNG,0.0,0.0
9-2,Fiona CARRICK,UNG,0.0,0.0
9-3,Lee PERREN-LEVERIDGE,UNG,0.0,0.0
