identifier,votes,pref,value
71141745-22,"['2-2', '3-1', '3-2', '2-4', '7-1']",0,1.0
258036824-22,"['8-1', '8-3', '8-5', '8-4', '8-2']",0,1.0
336369681-22,"['3-1', '3-2', '1-2', '1-1', '7-2']",0,1.0
363200385-22,"['8-3', '8-4', '8-5', '8-2', '8-1', '3-2', '3-1']",0,1.0
393993218-22,"['8-3', '3-2', '2-5', '4-2', '5-2']",0,1.0
501912323-22,"['8-3', '8-2', '8-4', '3-2', '3-1']",0,1.0
507063773-22,"['2-5', '2-2', '2-4', '2-3', '2-1']",0,1.0
521268096-22,"['2-1', '8-1', '8-2', '9-1', '9-2']",0,1.0
572526003-22,"['2-4', '2-5', '2-2', '2-1', '2-3']",0,1.0
661423681-22,"['2-5', '9-2', '2-2', '2-4', '2-3']",0,1.0
683852629-22,"['3-1', '5-1', '3-2', '4-1', '4-2', '8-2', '8-1', '8-3', '5-2', '8-5', '7-2', '7-1', '8-4']",0,1.0
819534838-22,"['5-1', '4-1', '4-2', '3-1', '3-2', '8-2', '8-1', '8-3', '8-5', '8-4', '6-2', '6-1']",0,1.0
845098640-22,"['2-5', '2-1', '2-4', '2-2', '2-3']",0,1.0
865614423-22,"['3-2', '3-1', '2-2', '8-5', '2-4']",0,1.0
880195818-22,"['2-5', '1-1', '1-2', '8-5', '8-4']",0,1.0
926360656-22,"['8-5', '2-4', '2-2', '2-5', '4-1', '8-1', '5-2', '3-1', '2-1', '2-3']",0,1.0
935683953-22,"['8-2', '8-1', '8-3', '8-4', '8-5']",0,1.0
1043448018-22,"['8-3', '8-5', '2-3', '2-1', '3-1']",0,1.0
1082693336-22,"['2-5', '1-2', '2-2', '8-2', '8-5', '8-3', '8-4', '8-1']",0,1.0
1125475028-22,"['3-1', '3-2', '8-2', '8-5', '8-1']",0,1.0
1187340361-22,"['8-4', '8-2', '8-1', '8-3', '8-5']",0,1.0
1220416098-22,"['8-3', '8-2', '8-4', '3-2', '3-1', '8-5', '8-1']",0,1.0
1457452062-22,"['3-1', '9-1', '9-2', '3-2', '4-2']",0,1.0
1534347499-22,"['8-5', '8-4', '8-2', '8-1', '8-3', '3-1', '3-2']",0,1.0
1563413704-22,"['3-2', '3-1', '8-5', '8-3', '8-2', '8-4', '8-1']",0,1.0
1573606062-22,"['3-1', '3-2', '8-4', '8-5', '8-3', '8-1', '8-2']",0,1.0
1581793925-22,"['1-2', '3-1', '8-4', '1-1', '3-2']",0,1.0
1593495206-22,"['8-5', '3-1', '8-4', '3-2', '8-1', '7-1', '8-3', '7-2', '8-2', '4-1', '4-2', '5-1', '5-2', '9-1', '9-3', '9-2', '6-1', '6-2', '1-1', '1-2', '2-4', '2-1', '2-3', '2-5', '2-2']",0,1.0
1612660848-22,"['8-5', '8-3', '3-2', '3-1', '8-4', '8-2', '8-1']",0,1.0
1691952423-22,"['2-2', '2-5', '2-1', '2-3', '2-4']",0,1.0
1698431087-22,"['8-4', '8-3', '8-5', '3-1', '8-2']",0,1.0
1844020928-22,"['8-5', '8-3', '8-2', '3-1', '3-2']",0,1.0
1959114349-22,"['8-5', '8-4', '8-3', '8-2', '7-2', '7-1', '8-1']",0,1.0
2146505249-22,"['3-1', '3-2', '8-1', '8-4', '8-3', '7-1', '7-2', '8-2']",0,1.0
119654630-25,"['7-2', '2-5', '2-4', '8-5', '8-4']",0,1.0
149753898-25,"['8-4', '8-3', '8-5', '8-2', '8-1']",0,1.0
192041015-25,"['2-1', '2-2', '2-4', '2-5', '2-3']",0,1.0
214304173-25,"['2-1', '3-1', '3-2', '2-5', '4-1']",0,1.0
220547317-25,"['8-4', '8-3', '8-2', '8-5', '8-1']",0,1.0
303901205-25,"['1-1', '1-2', '8-3', '2-1', '2-2']",0,1.0
380645148-25,"['2-5', '2-4', '2-3', '2-2', '2-1']",0,1.0
545998924-25,"['1-2', '1-1', '2-3', '2-5', '7-2']",0,1.0
640082332-25,"['8-3', '8-4', '8-1', '8-2', '8-5']",0,1.0
766107038-25,"['5-1', '2-5', '2-1', '2-4', '5-2']",0,1.0
810749243-25,"['2-5', '6-1', '4-2', '9-1', '2-2']",0,1.0
1031962528-25,"['2-3', '4-1', '5-1', '6-2', '8-2']",0,1.0
1234842922-25,"['2-4', '1-2', '7-2', '8-3', '4-1']",0,1.0
1269069318-25,"['3-1', '3-2', '4-1', '4-2', '7-1']",0,1.0
1692128520-25,"['2-5', '2-4', '2-2', '2-1', '5-1']",0,1.0
1693857247-25,"['8-5', '8-1', '8-4', '8-2']",0,1.0
1777810021-25,"['2-5', '7-2', '8-5', '3-1', '4-2']",0,1.0
2016319525-25,"['8-4', '8-2', '8-5', '8-3', '8-1']",0,1.0
