identifier,votes,pref,value
2017763920-25,"['7-2', '7-1', '2-4', '2-2', '2-3']",0,1.0
2037319029-25,"['8-1', '8-3', '8-4', '8-5', '8-2']",0,1.0
2056597252-25,"['2-4', '2-2', '2-5', '2-1', '2-3']",0,1.0
147577331-26,"['1-2', '1-1', '7-2', '7-1', '8-3']",0,1.0
260414054-26,"['3-1', '3-2', '8-4', '8-5', '8-2']",0,1.0
455490712-26,"['8-5', '8-2', '8-3', '8-1', '8-4']",0,1.0
592909705-26,"['8-5', '8-2', '8-3', '9-2', '9-1', '8-1', '8-4']",0,1.0
814910122-26,"['8-5', '8-3', '8-4', '8-1', '8-2']",0,1.0
822833768-26,"['8-3', '8-1', '8-2', '1-1', '1-2', '8-4', '8-5', '3-1', '3-2', '2-3', '2-1', '7-1', '7-2', '2-2', '2-4', '2-5']",0,1.0
930975613-26,"['2-4', '2-5', '2-1', '2-2', '2-3']",0,1.0
1238802282-26,"['8-5', '8-1', '8-2', '8-4', '3-1', '2-4']",0,1.0
1242469207-26,"['1-2', '1-1', '2-5', '2-3', '2-4']",0,1.0
1306263720-26,"['2-5', '2-1', '2-2', '2-3', '2-4']",0,1.0
1371893376-26,"['3-2', '3-1', '7-2', '7-1', '8-4', '8-1']",0,1.0
1531427537-26,"['2-2', '3-2', '4-1', '6-1', '7-1']",0,1.0
1534703284-26,"['8-5', '8-4', '6-2', '2-2', '2-4']",0,1.0
1581678472-26,"['8-1', '8-2', '8-5', '2-3', '2-1', '8-3', '8-4', '2-2', '2-4', '2-5']",0,1.0
1660204646-26,"['1-1', '4-2', '8-5', '3-1', '6-2']",0,1.0
1670623518-26,"['3-1', '3-2', '7-1', '7-2', '4-1']",0,1.0
1678173348-26,"['2-4', '2-5', '2-2', '2-1', '2-3']",0,1.0
1700216451-26,"['8-5', '8-4', '8-1', '8-3', '8-2']",0,1.0
1705330894-26,"['7-2', '7-1', '4-2', '4-1', '5-1']",0,1.0
1732339219-26,"['8-5', '8-3', '8-4', '8-1', '8-2']",0,1.0
1795205233-26,"['2-5', '2-2', '2-4', '2-3', '2-1']",0,1.0
1945899185-26,"['2-4', '2-3', '2-2', '2-1', '2-5']",0,1.0
2071793646-26,"['3-2', '3-1', '8-4', '8-2', '8-5', '8-1', '8-3']",0,1.0
2085424452-26,"['8-2', '2-4', '3-1', '5-1', '1-1']",0,1.0
2095913588-26,"['6-2', '8-1', '8-5', '6-1', '3-1']",0,1.0
2144890695-26,"['7-1', '7-2', '1-1', '9-2', '1-2', '8-3', '8-1', '8-4', '8-5', '8-2']",0,1.0
19321511-30,"['8-4', '8-3', '8-1', '8-5', '8-2', '3-1', '3-2']",0,1.0
76739691-30,"['6-1', '6-2', '5-1', '8-5', '3-2', '3-1', '8-2', '8-4', '8-3', '8-1']",0,1.0
104003645-30,"['5-1', '5-2', '3-1', '3-2', '6-2']",0,1.0
106113132-30,"['6-1', '6-2', '8-2', '8-5', '3-2', '8-1', '8-4', '3-1', '8-3', '2-3', '4-2']",0,1.0
153857116-30,"['5-1', '5-2', '8-4', '8-1', '8-5', '8-3', '8-2', '1-2', '1-1', '3-1', '3-2', '9-1', '9-2', '6-2', '6-1', '9-3', '4-2', '4-1', '7-1', '7-2', '2-5', '2-4', '2-3', '2-1', '2-2']",0,1.0
193706121-30,"['2-1', '2-5', '2-4', '2-3', '6-2', '2-2']",0,1.0
252731102-30,"['2-5', '8-3', '3-1', '3-2', '4-1']",0,1.0
290127222-30,"['8-4', '8-3', '8-5', '8-2', '8-1', '3-1']",0,1.0
290157122-30,"['5-2', '6-1', '6-2', '8-3', '8-1']",0,1.0
292623346-30,"['8-4', '8-3', '8-2', '8-1', '8-5']",0,1.0
298608402-30,"['5-1', '8-5', '3-1', '8-4', '3-2', '8-3', '8-1', '8-2']",0,1.0
299852580-30,"['8-4', '6-2', '6-1', '1-2', '1-1']",0,1.0
300671226-30,"['8-4', '8-1', '8-2', '8-5', '8-3']",0,1.0
309132877-30,"['8-4', '8-3', '3-2', '3-1', '8-2']",0,1.0
316408273-30,"['2-5', '2-2', '2-4', '2-3', '2-1', '5-2', '5-1', '6-2', '6-1', '4-2', '4-1']",0,1.0
345629526-30,"['5-1', '3-1', '3-2', '7-1', '7-2']",0,1.0
413692762-30,['5-1'],0,1.0
414886117-30,"['8-4', '8-3', '3-1', '4-1', '8-2']",0,1.0
463744512-30,"['2-1', '2-2', '2-5', '2-3', '2-4']",0,1.0
483671457-30,"['8-4', '8-3', '8-5', '8-2', '8-1', '3-1']",0,1.0
492526038-30,"['2-5', '2-3', '2-4', '2-2', '2-1']",0,1.0
501798618-30,"['5-2', '5-1', '2-3', '4-2', '4-1', '9-2', '1-2', '1-1', '6-2', '2-2', '8-3', '8-4', '9-1', '6-1', '2-4', '8-5', '8-2', '8-1', '2-5', '2-1', '3-2', '3-1', '7-2', '7-1', '9-3']",0,1.0
520989027-30,"['2-5', '2-2', '2-4', '6-2', '8-1']",0,1.0
532403750-30,"['2-1', '2-4', '2-5', '2-2', '2-3']",0,1.0
566927351-30,"['8-3', '2-3', '8-2', '8-1', '8-5']",0,1.0
572187042-30,"['8-4', '8-3', '8-1', '8-5', '8-2', '3-2', '3-1', '5-2', '5-1', '7-2', '7-1', '9-1']",0,1.0
606225952-30,"['5-2', '6-1', '8-5', '2-3', '2-1']",0,1.0
632462466-30,"['5-1', '6-1', '8-3', '8-1', '6-2']",0,1.0
634315690-30,"['8-4', '8-5', '8-3', '8-2', '8-1']",0,1.0
659476932-30,"['2-1', '2-3', '2-5', '2-2', '2-4']",0,1.0
720720544-30,"['8-4', '8-1', '8-3', '8-5', '8-2']",0,1.0
735416542-30,"['8-3', '8-4', '8-2', '8-1', '8-5']",0,1.0
749138104-30,"['8-4', '9-2', '8-1', '8-2', '8-3']",0,1.0
753595645-30,"['8-4', '8-2', '8-1', '8-3', '8-5']",0,1.0
777283339-30,"['2-5', '2-3', '2-2', '2-1', '2-4']",0,1.0
784357672-30,"['2-1', '2-5', '2-2', '2-4', '2-3']",0,1.0
797238813-30,"['2-5', '1-2', '5-1', '7-1', '8-2']",0,1.0
863641177-30,"['2-1', '2-5', '2-4', '2-3', '2-2']",0,1.0
940231109-30,"['5-1', '5-2', '3-2', '3-1', '8-3', '8-4', '8-2', '8-5', '8-1', '9-2']",0,1.0
946395991-30,"['8-4', '8-1', '8-3', '8-2', '8-5']",0,1.0
959983070-30,"['8-4', '8-2', '8-3', '3-2', '3-1']",0,1.0
986459824-30,"['5-1', '5-2', '6-2', '6-1', '8-3', '8-5', '8-1', '7-2', '7-1', '9-1']",0,1.0
996718867-30,"['7-1', '7-2', '4-1', '4-2', '9-3', '6-1', '9-1', '9-2', '6-2', '5-1', '5-2', '1-1', '1-2', '8-3', '2-3', '3-1', '3-2', '8-4', '8-5', '8-1', '2-4', '2-5', '2-1', '2-2', '8-2']",0,1.0
1003510186-30,"['2-1', '2-5', '2-3', '2-2', '2-4']",0,1.0
1004121818-30,"['2-1', '2-2', '2-3', '2-4', '2-5']",0,1.0
1012259297-30,"['8-4', '1-1', '8-5', '8-2', '3-1']",0,1.0
1024432102-30,"['2-1', '2-3', '8-3', '8-1', '3-1']",0,1.0
1042320431-30,"['2-1', '2-3', '3-1', '5-1', '8-1', '3-2', '5-2', '6-1', '6-2', '4-1', '4-2', '9-2', '1-1', '9-1', '1-2', '2-2', '2-5', '2-4', '8-3', '8-2', '9-3', '8-5', '7-1', '7-2', '8-4']",0,1.0
1087619557-30,"['6-1', '2-4', '2-2', '2-1', '2-3', '5-2', '2-5', '8-2', '8-1', '8-3']",0,1.0
1120695156-30,"['2-1', '2-4', '3-1', '6-1', '2-5']",0,1.0
1122373268-30,['8-4'],0,1.0
1127386113-30,"['2-5', '2-1', '2-3', '2-4', '2-2']",0,1.0
1202741582-30,"['8-4', '2-3', '8-3', '8-2', '8-5']",0,1.0
1240952359-30,"['2-5', '2-3', '2-4', '2-2', '2-1']",0,1.0
1277897593-30,"['5-1', '3-1', '3-2', '8-2', '8-1', '8-3', '8-5', '8-4']",0,1.0
1297252898-30,"['6-1', '6-2', '5-1', '5-2', '4-1', '4-2']",0,1.0
1297804738-30,"['8-4', '8-3', '8-2', '8-1', '8-5']",0,1.0
1301948853-30,"['5-1', '3-1', '3-2', '4-1', '4-2', '6-2', '6-1', '5-2']",0,1.0
1311802303-30,"['2-5', '2-2', '2-4', '2-3', '2-1']",0,1.0
1331945658-30,"['4-2', '3-2', '3-1', '1-2', '1-1']",0,1.0
1356990612-30,"['8-4', '8-2', '8-5', '8-3', '8-1']",0,1.0
1366286971-30,"['2-5', '2-3', '2-4', '2-2', '2-1']",0,1.0
1371335845-30,"['5-1', '3-2', '3-1', '9-2', '1-2', '8-4', '8-2', '8-5', '8-1', '5-2', '6-2', '4-2', '4-1', '2-4', '2-2', '2-1', '2-3', '2-5', '1-1', '6-1', '9-1', '9-3', '7-2', '7-1', '8-3']",0,1.0
1466224634-30,"['8-4', '8-5', '1-1', '2-4', '5-1']",0,1.0
1470567768-30,"['2-1', '2-5', '2-3', '3-1', '8-1']",0,1.0
1478978582-30,"['8-4', '8-2', '8-1', '8-3', '8-5', '3-1', '3-2', '7-2', '7-1']",0,1.0
1508100917-30,"['5-1', '5-2', '9-1', '6-2', '8-3']",0,1.0
1509822123-30,"['5-1', '6-2', '2-3', '2-5', '5-2']",0,1.0
1514386158-30,"['6-1', '6-2', '5-1', '5-2', '8-3', '8-4', '8-1', '8-5', '8-2', '3-1', '3-2']",0,1.0
1547052220-30,"['2-1', '2-3', '2-4', '2-2', '2-5']",0,1.0
1547587478-30,"['8-4', '8-5', '8-1', '8-2', '8-3']",0,1.0
1575523954-30,"['6-1', '6-2', '3-1', '3-2', '8-3', '8-5', '8-1', '8-4', '8-2', '5-1', '5-2', '1-1', '1-2', '7-1', '7-2', '9-3', '9-1', '9-2', '4-1', '4-2', '2-3', '2-5', '2-1', '2-4', '2-2']",0,1.0
1585111662-30,"['8-4', '2-5', '3-1', '5-2', '7-1']",0,1.0
1650345703-30,"['5-2', '5-1', '3-2', '3-1', '8-3', '8-5', '8-2', '8-1', '8-4']",0,1.0
1658796805-30,"['5-2', '6-2', '8-5', '8-3', '8-4', '3-1', '7-2', '7-1', '6-1']",0,1.0
1672704061-30,"['5-1', '5-2', '7-2', '7-1', '6-2']",0,1.0
1676674707-30,"['2-1', '2-5', '2-3', '4-1', '8-2']",0,1.0
1694531904-30,"['5-1', '6-2', '6-1', '5-2', '3-1', '3-2', '8-3', '8-4', '8-1', '8-2', '8-5', '4-1', '4-2']",0,1.0
1740782969-30,"['2-5', '3-1', '2-4', '8-5', '8-2', '8-4']",0,1.0
1788611817-30,"['2-5', '2-2', '8-4', '5-1', '8-3']",0,1.0
1829987436-30,"['2-3', '2-4', '2-2', '2-5', '2-1']",0,1.0
1855683248-30,"['2-1', '2-5', '2-4', '2-3', '2-2']",0,1.0
1866684248-30,"['5-1', '4-1', '8-3', '5-2', '4-2', '8-4', '8-5', '8-2', '3-2', '3-1', '2-4', '2-2', '1-2', '1-1', '6-2', '9-1', '6-1', '7-2', '2-5', '7-1', '8-1', '9-3', '2-3', '2-1', '9-2']",0,1.0
1891179554-30,"['8-4', '8-3', '3-2', '3-1', '1-2', '8-2', '8-5', '8-1', '1-1']",0,1.0
1914118348-30,"['2-1', '8-1', '2-2', '2-5', '2-4']",0,1.0
1917444114-30,"['8-4', '8-2', '8-1', '8-3', '8-5']",0,1.0
1931239324-30,"['5-1', '5-2', '9-2', '3-2', '6-1', '6-2', '1-2', '1-1', '9-3', '9-1', '3-1', '4-2', '4-1', '7-2', '7-1', '2-2', '2-3', '2-1', '2-4', '2-5', '8-1', '8-5', '8-4', '8-2', '8-3']",0,1.0
1938139988-30,"['8-4', '8-3', '1-1', '1-2', '6-2']",0,1.0
1940228413-30,"['8-4', '8-5', '8-2', '8-3', '8-1']",0,1.0
1942277620-30,"['5-1', '3-2', '3-1', '8-5', '8-2', '8-3', '8-1', '8-4', '1-2', '6-1', '6-2', '5-2', '9-2', '9-3', '9-1', '2-5', '2-1', '2-4', '2-3', '2-2', '4-1', '4-2', '7-1', '7-2', '1-1']",0,1.0
1960848430-30,"['5-2', '4-1', '6-2', '6-1', '3-1']",0,1.0
1997905822-30,"['6-1', '6-2', '5-1']",0,1.0
2008346032-30,"['5-1', '5-2', '8-5', '8-2', '8-4']",0,1.0
2010258181-30,"['8-4', '8-1', '8-2', '8-3', '8-5']",0,1.0
2016869795-30,"['2-1', '2-2', '2-5', '2-3', '2-4']",0,1.0
2017413871-30,"['8-4', '8-3', '3-1', '3-2', '8-1', '8-5', '8-2', '5-1', '5-2']",0,1.0
2062532934-30,"['8-3', '8-4', '8-5', '8-1', '8-2', '3-2', '3-1']",0,1.0
2117784942-30,"['8-4', '8-3', '8-2', '8-5', '8-1', '3-2', '3-1']",0,1.0
2143984124-30,"['6-2', '6-1', '2-4', '2-2', '2-3', '2-1']",0,1.0
19623092-30,"['6-2', '6-1', '2-5', '2-2', '2-1', '2-4', '2-3']",0,1.0
39834428-30,"['6-2', '6-1', '5-1', '5-2', '4-1']",0,1.0
43399700-30,"['2-4', '3-1', '6-2', '4-1', '8-3']",0,1.0
78362904-30,"['6-2', '3-1', '5-1', '8-3', '8-4']",0,1.0
88596273-30,"['2-4', '2-2', '2-5', '2-1', '2-3']",0,1.0
94661683-30,"['2-4', '2-5', '2-2', '2-1', '2-3']",0,1.0
124853986-30,"['6-2', '2-5', '3-1', '6-1', '1-2']",0,1.0
148699247-30,"['9-1', '8-3', '8-4', '7-1', '8-2']",0,1.0
156080287-30,"['6-2', '6-1', '5-1', '2-5', '3-1']",0,1.0
164750326-30,"['6-2', '8-3', '8-1', '5-1', '8-5']",0,1.0
177332311-30,"['6-2', '6-1', '9-2', '2-5', '8-1']",0,1.0
189721497-30,"['6-2', '6-1', '9-2', '9-1', '9-3']",0,1.0
201299584-30,"['6-2', '6-1', '3-1', '3-2', '9-1', '9-2']",0,1.0
223930457-30,"['2-4', '2-2', '2-3', '2-5', '2-1', '5-1', '4-2', '4-1', '5-2', '6-2', '6-1', '8-4', '8-2', '8-3', '8-5', '8-1']",0,1.0
232244610-30,"['2-4', '2-2', '6-2', '2-5', '2-3', '2-1']",0,1.0
272871093-30,"['6-2', '6-1', '8-3', '8-5', '8-2', '8-4', '8-1']",0,1.0
274509325-30,"['2-4', '2-5', '2-2', '2-3', '2-1']",0,1.0
276704043-30,"['6-2', '6-1', '5-1', '5-2', '3-1', '3-2', '8-4', '8-2', '8-1', '8-5', '8-3', '1-1', '1-2', '7-1', '7-2', '9-1', '9-2', '2-3', '2-5', '2-1', '2-4', '2-2', '4-1', '4-2', '9-3']",0,1.0
310262052-30,"['6-2', '8-2', '2-3', '2-5', '2-2']",0,1.0
322769508-30,"['6-2', '6-1', '3-1', '8-4', '8-2']",0,1.0
339789755-30,"['6-2', '6-1', '2-2', '2-4', '2-1']",0,1.0
352448249-30,"['6-2', '6-1', '2-4', '2-3', '2-2', '2-1', '2-5']",0,1.0
381974572-30,"['2-4', '2-1', '2-2', '2-3', '2-5']",0,1.0
382898373-30,"['2-4', '6-2', '2-5', '2-2', '4-2']",0,1.0
395746718-30,"['6-2', '8-4', '8-1', '8-2', '8-5', '8-3', '9-2', '9-1', '7-1', '7-2', '6-1', '5-1', '5-2', '9-3', '1-1', '1-2', '3-1', '3-2', '4-1', '4-2', '2-4', '2-1', '2-2', '2-3', '2-5']",0,1.0
398912443-30,"['6-2', '2-3', '3-1', '5-1', '2-5', '3-2', '6-1', '5-2', '2-4', '2-2', '2-1', '9-1', '9-2', '1-1', '1-2']",0,1.0
422755380-30,"['2-4', '2-2', '2-5', '2-3', '2-1']",0,1.0
432403192-30,"['6-2', '8-5', '8-3', '7-1', '3-1', '8-2', '8-4', '8-1']",0,1.0
433128149-30,['2-4'],0,1.0
450338053-30,"['6-2', '7-1', '9-1', '4-2', '5-1']",0,1.0
461998423-30,"['6-2', '6-1', '8-3', '8-4', '8-5']",0,1.0
465677626-30,"['6-2', '6-1', '1-2', '8-3', '9-1']",0,1.0
540524436-30,"['9-1', '2-5', '2-1', '2-2', '2-3', '2-4', '8-3', '6-2', '6-1', '5-2', '5-1']",0,1.0
566889662-30,"['9-1', '6-2', '6-1', '4-2', '4-1']",0,1.0
574795718-30,"['6-2', '6-1', '9-2', '9-1', '2-5', '2-4', '2-1', '2-3', '2-2', '3-1', '3-2', '1-1', '1-2', '4-1', '4-2', '5-1', '5-2', '7-1', '7-2', '8-4', '8-1', '8-5', '8-3', '8-2', '9-3']",0,1.0
635314136-30,"['2-4', '2-1', '2-3', '2-2', '2-5', '1-1', '1-2', '3-1', '3-2', '4-1', '4-2', '5-1', '5-2', '6-1', '6-2', '7-1', '7-2', '8-4', '8-1', '8-3', '8-2', '8-5', '9-1', '9-3', '9-2']",0,1.0
656191015-30,"['6-2', '6-1', '4-1', '4-2', '2-5', '5-1', '5-2']",0,1.0
661090170-30,"['2-4', '2-5', '2-2', '2-3', '2-1']",0,1.0
686845872-30,"['2-4', '2-5', '2-2', '2-1', '2-3', '9-2', '8-4', '9-3']",0,1.0
700505336-30,"['2-4', '2-1', '2-5', '2-2', '2-3']",0,1.0
760113265-30,"['2-4', '2-3', '2-1', '2-5', '2-2']",0,1.0
789774055-30,"['9-1', '2-3', '2-5', '7-2', '2-4']",0,1.0
804995411-30,"['6-2', '6-1', '5-1', '5-2', '8-4', '8-3', '8-5', '8-2', '8-1', '9-1', '9-2', '9-3']",0,1.0
878619344-30,"['2-4', '2-5', '2-2', '2-1', '2-3']",0,1.0
892200219-30,"['6-2', '2-3', '2-5', '2-2', '6-1']",0,1.0
911768278-30,"['6-2', '6-1', '3-1', '8-4', '8-3']",0,1.0
916654621-30,"['6-2', '8-4', '9-1', '5-2', '2-2', '8-2', '8-1', '8-5', '8-3', '5-1']",0,1.0
933758615-30,"['2-4', '2-1', '2-2', '2-5', '2-3']",0,1.0
954402840-30,"['2-4', '4-2', '6-2', '8-4', '9-1']",0,1.0
975433151-30,"['6-2', '6-1', '3-1', '3-2', '9-1']",0,1.0
1032403822-30,"['6-2', '8-4', '8-2', '8-5', '8-1', '8-3', '6-1']",0,1.0
1040825656-30,"['6-2', '6-1']",0,1.0
1050332030-30,"['2-4', '2-5', '2-2', '1-2', '2-3']",0,1.0
1161753522-30,"['6-2', '6-1', '5-1', '5-2', '7-2', '7-1', '8-3', '8-4', '8-2', '8-5', '8-1', '4-2', '4-1', '9-2', '9-1', '9-3', '3-2', '3-1', '1-2', '1-1', '2-1', '2-4', '2-3', '2-2', '2-5']",0,1.0
1177039890-30,"['2-4', '2-5', '2-2', '2-3', '2-1', '8-3', '8-5', '8-2', '8-4', '8-1', '9-1', '3-1', '3-2', '4-1', '4-2', '5-1', '5-2', '6-1', '6-2', '7-1', '7-2', '1-1', '1-2', '9-3', '9-2']",0,1.0
1210903586-30,"['6-2', '8-1', '1-2', '1-1', '8-4']",0,1.0
1241700245-30,"['6-2', '6-1', '3-1', '3-2', '9-3', '2-1', '2-3', '2-4', '2-2', '2-5', '8-3', '8-5', '8-4', '8-2', '8-1']",0,1.0
1280943725-30,"['6-2', '8-5', '8-3', '6-1', '8-2']",0,1.0
1287072708-30,"['6-2', '6-1', '8-3', '8-5', '8-4', '3-1', '8-1', '8-2', '2-5', '2-3', '2-4', '2-1', '2-2', '3-2', '9-3', '9-1', '9-2', '7-1', '7-2', '4-1', '4-2', '1-1', '1-2', '5-1', '5-2']",0,1.0
1301282134-30,"['2-4', '2-5', '2-2', '2-3', '2-1']",0,1.0
1388500144-30,"['6-2', '2-2', '2-4', '2-5', '2-3']",0,1.0
1390326053-30,"['6-2', '2-5', '2-4', '2-2', '2-3', '2-1', '3-1']",0,1.0
1474131655-30,"['6-2', '5-2', '7-2', '3-2', '4-2', '8-2', '9-2']",0,1.0
1498632948-30,"['2-4', '2-3', '2-5', '2-2', '2-1']",0,1.0
1501190980-30,"['6-2', '6-1']",0,1.0
1541749266-30,"['6-2', '9-1', '6-1', '4-2', '4-1']",0,1.0
1546837546-30,"['6-2', '6-1', '8-3', '8-2', '8-5', '8-4', '8-1']",0,1.0
1560403998-30,"['2-4', '5-1', '7-1', '4-1', '6-2']",0,1.0
1577639907-30,"['6-2', '5-1', '3-1', '3-2', '5-2', '6-1', '8-2', '8-5', '8-4', '8-3', '8-1']",0,1.0
1624380345-30,"['6-2', '6-1', '3-1', '3-2', '8-4', '8-3', '8-2', '8-1', '8-5']",0,1.0
1629341195-30,"['2-4', '2-2', '2-5', '2-1', '2-3']",0,1.0
1645492948-30,"['6-2', '2-5', '8-2', '6-1', '2-2']",0,1.0
1650031595-30,"['6-2', '6-1', '8-3', '8-4', '8-1']",0,1.0
1664919139-30,"['2-4', '2-5', '2-1', '2-3', '2-2', '5-1', '6-1', '7-1', '7-2', '8-3', '8-4']",0,1.0
1685929438-30,"['2-4', '2-5', '2-1', '2-3', '2-2']",0,1.0
1693764621-30,"['6-2', '7-2', '2-3', '2-5', '2-1']",0,1.0
1699447770-30,"['2-4', '2-5', '9-2', '1-2', '4-2']",0,1.0
1740707908-30,"['2-4', '2-2', '2-5', '8-3', '2-1']",0,1.0
1803484315-30,"['6-2', '6-1', '3-2', '3-1', '8-4', '8-2', '8-5', '8-1', '8-3']",0,1.0
1821201170-30,"['6-2', '9-1', '5-1', '6-1', '2-4']",0,1.0
1830072181-30,"['2-5', '2-1', '2-4', '2-2', '2-3']",0,1.0
1837683999-30,"['2-4', '2-1', '2-2', '2-5', '2-3', '6-2']",0,1.0
1843863811-30,"['6-2', '3-1', '3-2', '8-3', '8-2', '6-1', '8-4', '8-5', '8-1']",0,1.0
1854080894-30,"['2-4', '2-2', '2-5', '2-1', '2-3']",0,1.0
1856585087-30,"['2-4', '2-2', '2-1', '2-5', '2-3']",0,1.0
1890141305-30,"['6-2', '6-1', '5-2', '5-1', '3-2', '3-1', '4-2', '4-1', '7-2', '7-1', '9-2', '9-3', '9-1', '1-2', '1-1', '2-4', '2-2', '2-3', '2-5', '2-1', '8-4', '8-2', '8-3', '8-5', '8-1']",0,1.0
1899597503-30,"['6-2', '8-2', '8-1', '8-3', '8-4']",0,1.0
1900491933-30,"['6-2', '2-3', '2-4', '8-1', '3-1']",0,1.0
1942773468-30,"['6-2', '6-1', '2-5', '2-4', '2-3', '2-2', '2-1']",0,1.0
1945305897-30,"['6-2', '6-1', '3-2', '3-1', '8-4', '8-5', '8-1', '8-3', '8-2', '5-1', '5-2', '4-2', '4-1', '9-1']",0,1.0
1964448567-30,"['2-4', '2-1', '2-2', '2-5', '2-3']",0,1.0
1969646965-30,"['6-2', '3-2', '3-1', '8-3', '8-2', '8-5', '8-4', '8-1', '6-1', '2-3', '2-2', '2-5', '2-4', '2-1', '4-2', '4-1', '5-2', '5-1', '1-2', '1-1', '9-3', '9-2', '9-1', '7-2', '7-1']",0,1.0
1995964081-30,"['6-2', '6-1', '9-2', '9-1', '2-5', '2-3', '2-4', '2-2', '2-1', '9-3', '5-2', '5-1']",0,1.0
