identifier,votes,pref,value
1528292664-1,"['4-4', '4-1', '4-5', '4-3', '4-2']",0,1.0
1545543729-1,"['4-2', '7-1', '7-2', '6-2', '4-4']",0,1.0
1546469704-1,"['4-3', '4-1', '4-2', '6-1', '6-2']",0,1.0
1572757394-1,"['4-1', '4-5', '4-4', '4-2', '4-3']",0,1.0
1578186386-1,"['4-4', '4-5', '4-2', '4-3', '4-1']",0,1.0
1602456258-1,"['4-1', '4-5', '4-4', '4-2', '4-3', '7-1', '7-2', '5-1', '5-2', '6-1', '6-2', '8-1', '8-2', '2-1', '3-1', '2-2', '3-2', '3-3', '1-3', '1-2', '1-5', '1-1', '1-4']",0,1.0
1626190543-1,"['4-3', '4-4', '4-5', '4-2', '4-1']",0,1.0
1642767586-1,"['4-1', '3-1', '1-5', '1-4', '5-1']",0,1.0
1646516604-1,"['4-4', '4-1', '4-2', '4-3', '4-5']",0,1.0
1648049200-1,"['4-1', '4-3', '4-4', '4-2', '4-5']",0,1.0
1662055666-1,"['4-2', '4-1', '4-5', '4-3', '4-4']",0,1.0
1666423503-1,"['4-4', '4-3', '4-1', '4-2', '4-5', '1-5', '1-3', '2-1']",0,1.0
1698231079-1,"['4-2', '4-4', '4-1', '4-5', '4-3']",0,1.0
1753761068-1,"['4-4', '4-5', '4-3', '4-2', '4-1', '8-1', '8-2', '5-1', '5-2', '7-1', '6-2', '7-2', '6-1', '1-5', '1-2', '1-3', '1-1', '1-4', '2-2', '3-3', '3-2', '2-1', '3-1']",0,1.0
1766774437-1,"['4-1', '4-2', '4-4', '4-5', '4-3']",0,1.0
1769692132-1,"['4-1', '4-4', '4-5', '4-3', '4-2']",0,1.0
1825847030-1,"['4-1', '4-4', '4-2', '4-3', '4-5', '5-2', '5-1', '7-2', '7-1', '6-2', '6-1', '8-2', '8-1', '1-5', '1-2', '1-4', '1-3', '1-1', '2-2', '2-1', '3-2', '3-3', '3-1']",0,1.0
1833589171-1,"['4-2', '4-1', '4-5', '4-4', '4-3', '1-3']",0,1.0
1858396270-1,"['4-4', '4-5', '4-2', '4-3', '4-1']",0,1.0
1863043168-1,"['4-2', '4-3', '4-5', '4-4', '4-1']",0,1.0
1876385666-1,"['4-1', '4-4', '4-5', '4-2', '4-3']",0,1.0
1882598554-1,"['4-2', '4-1', '4-3', '4-5', '4-4']",0,1.0
1886648662-1,"['4-1', '4-5', '4-4', '4-2', '4-3']",0,1.0
1899122739-1,"['4-3', '4-4', '3-2', '3-3', '8-2']",0,1.0
1905387857-1,"['4-4', '4-5', '4-1', '4-3', '4-2', '5-1', '5-2', '6-1', '6-2']",0,1.0
1920080394-1,"['4-4', '4-2', '4-3', '4-5', '4-1', '5-2', '5-1']",0,1.0
1990097406-1,"['4-4', '4-2', '4-3', '4-1', '4-5']",0,1.0
2000966173-1,"['4-4', '4-1', '4-3', '4-5', '4-2']",0,1.0
2009547507-1,"['4-3', '4-1', '4-5', '4-2']",0,1.0
2010879017-1,"['4-4', '4-5', '4-3', '4-2', '4-1']",0,1.0
2099299792-1,"['4-1', '1-2', '8-2', '5-2', '7-2']",0,1.0
2099805392-1,"['4-2', '4-3', '4-5', '4-4', '4-1', '8-2', '8-1']",0,1.0
2141000324-1,"['4-1', '4-5', '4-4', '4-2', '4-3', '5-1', '5-2', '7-1', '7-2', '6-1', '6-2', '8-1', '8-2', '1-4', '1-5', '1-1', '1-2', '1-3', '2-1', '2-2', '3-1', '3-2', '3-3']",0,1.0
28924903-1,"['3-1', '3-3', '3-2', '1-4', '1-5']",0,1.0
39371793-1,"['3-3', '1-1', '4-5', '8-1', '5-1']",0,1.0
52105053-1,"['1-4', '1-1', '6-2', '7-1', '8-2', '4-2', '3-2', '2-1', '3-3', '4-4']",0,1.0
87513248-1,"['1-4', '1-1', '1-5', '1-3', '1-2', '3-1', '6-1']",0,1.0
135155015-1,"['3-2', '3-3', '3-1', '1-4', '1-3', '1-5', '1-1', '1-2']",0,1.0
143662835-1,"['1-2', '1-5', '1-1', '1-3', '1-4']",0,1.0
146039104-1,"['4-3', '4-2', '4-1', '4-4', '4-5']",0,1.0
171499258-1,"['1-4', '4-5', '4-4', '6-2', '6-1']",0,1.0
264807346-1,"['1-4', '1-3', '1-1', '1-5', '1-2']",0,1.0
269534159-1,"['3-1', '3-3', '3-2', '1-4', '1-2']",0,1.0
303164230-1,"['4-3', '4-5', '4-2', '4-1', '4-4']",0,1.0
318611830-1,"['1-4', '1-5', '1-1', '4-4', '4-1']",0,1.0
362484556-1,"['3-1', '3-2', '3-3', '1-4', '1-1', '1-5']",0,1.0
402761251-1,"['3-1', '1-1', '4-5', '3-3', '4-3']",0,1.0
431458815-1,"['3-3', '3-2', '3-1', '8-2', '8-1']",0,1.0
437466084-1,"['1-4', '1-1', '1-3', '1-2', '1-5']",0,1.0
447429285-1,"['3-1', '3-3', '3-2', '1-3', '4-5', '1-1']",0,1.0
516791023-1,"['1-4', '1-3', '1-2', '1-1', '1-5']",0,1.0
541020495-1,"['4-3', '4-5', '4-4', '4-2', '4-1']",0,1.0
574418677-1,"['3-3', '3-1', '1-3', '1-1', '3-2']",0,1.0
