id,ecode,pcode,ccode,cname,party
1-1,1,1,1,Cathy DAY,ALP
1-2,1,1,2,Taimus WERNER-GIBBINGS,ALP
1-3,1,1,3,Joy BURCH,ALP
1-4,1,1,4,Mick GENTLEMAN,ALP
1-5,1,1,5,Brendan FORDE,ALP
2-1,1,2,1,Robyn SOXSMITH,AJP
2-2,1,2,2,Jannah FAHIZ,AJP
3-1,1,3,1,Johnathan DAVIS,GREEN
3-2,1,3,2,Sue ELLERMAN,GREEN
3-3,1,3,3,Laura NUTTALL,GREEN
4-1,1,4,1,Mark PARTON,LIB
4-2,1,4,2,James DANIELS,LIB
4-3,1,4,3,Jane HIATT,LIB
4-4,1,4,4,Andrew WALL,LIB
4-5,1,4,5,Nicole LAWDER,LIB
5-1,1,5,1,Jacob GOWOR,LDP
5-2,1,5,2,Matthew KNIGHT,LDP
6-1,1,6,1,Andrew CLAPHAM,SUST
6-2,1,6,2,Bruce WILLETT,SUST
7-1,1,7,1,Greg BAYNHAM,SFF
7-2,1,7,2,Adrian OLLEY,SFF
8-1,1,8,1,Scott SANDFORD,FED
8-2,1,8,2,Jason POTTER,FED
