id,votes,pref,value
2085424452,"['8-2', '2-4', '3-1', '5-1', '1-1']",0,1
2095913588,"['6-2', '8-1', '8-5', '6-1', '3-1']",0,1
2144890695,"['7-1', '7-2', '1-1', '9-2', '1-2', '8-3', '8-1', '8-4', '8-5', '8-2']",0,1
19321511,"['8-4', '8-3', '8-1', '8-5', '8-2', '3-1', '3-2']",0,1
76739691,"['6-1', '6-2', '5-1', '8-5', '3-2', '3-1', '8-2', '8-4', '8-3', '8-1']",0,1
104003645,"['5-1', '5-2', '3-1', '3-2', '6-2']",0,1
106113132,"['6-1', '6-2', '8-2', '8-5', '3-2', '8-1', '8-4', '3-1', '8-3', '2-3', '4-2']",0,1
153857116,"['5-1', '5-2', '8-4', '8-1', '8-5', '8-3', '8-2', '1-2', '1-1', '3-1', '3-2', '9-1', '9-2', '6-2', '6-1', '9-3', '4-2', '4-1', '7-1', '7-2', '2-5', '2-4', '2-3', '2-1', '2-2']",0,1
193706121,"['2-1', '2-5', '2-4', '2-3', '6-2', '2-2']",0,1
252731102,"['2-5', '8-3', '3-1', '3-2', '4-1']",0,1
290127222,"['8-4', '8-3', '8-5', '8-2', '8-1', '3-1']",0,1
290157122,"['5-2', '6-1', '6-2', '8-3', '8-1']",0,1
292623346,"['8-4', '8-3', '8-2', '8-1', '8-5']",0,1
298608402,"['5-1', '8-5', '3-1', '8-4', '3-2', '8-3', '8-1', '8-2']",0,1
299852580,"['8-4', '6-2', '6-1', '1-2', '1-1']",0,1
300671226,"['8-4', '8-1', '8-2', '8-5', '8-3']",0,1
309132877,"['8-4', '8-3', '3-2', '3-1', '8-2']",0,1
316408273,"['2-5', '2-2', '2-4', '2-3', '2-1', '5-2', '5-1', '6-2', '6-1', '4-2', '4-1']",0,1
345629526,"['5-1', '3-1', '3-2', '7-1', '7-2']",0,1
413692762,['5-1'],0,1
414886117,"['8-4', '8-3', '3-1', '4-1', '8-2']",0,1
463744512,"['2-1', '2-2', '2-5', '2-3', '2-4']",0,1
483671457,"['8-4', '8-3', '8-5', '8-2', '8-1', '3-1']",0,1
492526038,"['2-5', '2-3', '2-4', '2-2', '2-1']",0,1
501798618,"['5-2', '5-1', '2-3', '4-2', '4-1', '9-2', '1-2', '1-1', '6-2', '2-2', '8-3', '8-4', '9-1', '6-1', '2-4', '8-5', '8-2', '8-1', '2-5', '2-1', '3-2', '3-1', '7-2', '7-1', '9-3']",0,1
520989027,"['2-5', '2-2', '2-4', '6-2', '8-1']",0,1
532403750,"['2-1', '2-4', '2-5', '2-2', '2-3']",0,1
566927351,"['8-3', '2-3', '8-2', '8-1', '8-5']",0,1
