id,pname,pabbrev
1,ACT LABOR,ALP
2,ANIMAL JUSTICE PARTY,AJP
3,THE ACT GREENS,GREEN
4,CANBERRA LIBERALS,LIB
5,LIBERAL DEMOCRATS,LDP
6,SUSTAINABLE AUSTRALIA - STOP OVERDEVELOPMENT. STOP CORRUPTION.,SUST
7,SHOOTERS FISHERS AND FARMERS PARTY (ACT),SFF
8,AUSTRALIAN FEDERATION PARTY AUSTRALIAN CAPITAL TERRITORY,FED
